ID,condition,condition_code,age,gender,initial_confidence,initial_satisfaction,choice_difficulty,product_involvement,category_knowledge,prior_return_frequency,platform_use_frequency,ad_skepticism,maximizing_tendency,price_sensitivity,IDN1,IDN2,IDN3,SIM1,SIM2,SIM3,ADV1,ADV2,ADV3,REP1,REP2,REP3,PAL1,PAL2,PAL3,PAL4,TRU1,TRU2,TRU3,TRU4,CLO1,CLO2,CLO3,CLO4,CLO5,CFT1,CFT2,CFT3,CFT4,REG1,REG2,REG3,REG4,RET1,RET2,RET3,RET4,RET5,AVO1,AVO2,AVO3,AVO4,AVO5,IRR1,IRR2,IRR3,IRR4,IRR5,ACC1,ACC2,ACC3,FIT1,FIT2,FIT3,PAL,Trust,Closure,Counterfactual,Regret,Return,Avoidance,Irritation,Accuracy,CurrentFit,same_vs_rest,superior_vs_rest
S1-0197,Unrelated,0,27,Male,4,5,2,6,7,6,7,5,4,4,3,3,1,3,2,3,2,2,2,2,2,3,4,6,4,6,4,5,5,5,5,5,5,6,6,2,2,2,2,3,4,3,4,3,3,3,3,5,3,2,2,1,3,2,3,3,2,3,3,3,3,3,4,3,5.0,4.75,5.4,2.0,3.5,3.0,2.2,2.6,3.0,3.3333333333333335,-0.3333333333333333,-0.3333333333333333
S1-0198,Same-product,1,24,Male,5,4,3,6,4,5,4,5,4,5,5,5,6,7,5,6,3,2,2,5,5,5,3,3,2,4,3,3,4,3,6,6,7,6,5,2,2,3,3,3,2,2,1,1,2,2,2,7,5,5,5,5,5,5,4,6,5,6,5,5,5,2,2,2,3.0,3.25,6.0,2.5,2.0,1.6,5.0,5.2,5.0,2.0,1.0,-0.3333333333333333
S1-0199,Unrelated,0,19,Male,6,4,4,5,3,4,5,3,4,3,2,2,2,1,2,3,2,2,1,2,2,1,5,4,5,5,5,5,5,4,3,5,5,5,6,3,2,3,2,2,3,2,3,2,3,2,4,6,3,3,2,3,2,3,3,3,2,3,4,3,1,4,5,5,4.75,4.75,4.8,2.5,2.5,2.6,2.6,2.8,2.6666666666666665,4.666666666666667,-0.3333333333333333,-0.3333333333333333
S1-0200,Similar-product,2,22,Male,5,4,3,3,4,3,6,4,5,5,1,2,2,5,5,6,4,4,2,4,4,4,2,4,4,4,4,3,4,3,3,3,4,4,4,4,3,4,4,4,3,3,4,3,3,2,4,3,3,3,4,3,4,4,5,4,4,4,5,5,5,4,4,3,3.5,3.5,3.6,3.75,3.5,3.4,3.4,4.2,5.0,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0201,Same-product,1,18,Female,4,6,2,2,5,4,5,6,5,2,6,6,6,6,6,6,2,3,2,5,6,5,4,4,4,4,3,3,4,4,5,5,5,4,4,3,2,2,2,3,3,3,4,3,4,3,3,3,4,4,5,5,5,6,6,7,6,5,5,5,4,2,2,2,4.0,3.5,4.6,2.25,3.25,3.6,4.6,6.0,4.666666666666667,2.0,1.0,-0.3333333333333333
S1-0202,Unrelated,0,20,Female,4,5,3,5,6,5,6,6,5,4,2,1,1,2,2,2,2,3,3,2,2,2,5,5,4,4,4,2,5,4,6,5,5,5,5,3,2,2,3,3,4,3,3,3,2,2,2,7,2,2,2,2,3,2,2,3,3,3,4,4,3,7,6,6,4.5,3.75,5.2,2.5,3.25,2.0,2.2,2.6,3.6666666666666665,6.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0203,Similar-product,2,26,Male,4,4,3,4,5,4,5,6,5,5,3,2,3,6,7,7,5,3,4,5,4,4,5,5,5,5,5,5,5,4,3,5,3,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,5,5,6,5,5,4,5,3,4,3,5.0,4.75,3.8,3.75,3.75,3.8,4.0,5.2,4.666666666666667,3.3333333333333335,-0.3333333333333333,-0.3333333333333333
S1-0204,Similar-product,2,28,Female,4,6,4,4,3,2,3,4,7,4,4,2,3,6,5,6,4,4,3,4,4,4,5,6,5,7,6,6,6,6,4,4,3,4,4,4,4,4,4,3,3,4,2,4,3,3,2,5,2,4,3,3,3,4,4,4,4,4,2,5,4,3,3,4,5.75,6.0,3.8,4.0,3.0,3.0,3.0,4.0,3.6666666666666665,3.3333333333333335,-0.3333333333333333,-0.3333333333333333
S1-0205,Similar-product,2,18,Female,5,6,3,4,2,3,6,3,3,5,2,2,2,6,5,6,4,2,3,4,4,4,5,5,5,5,4,5,5,4,5,5,5,5,6,4,3,3,3,3,2,3,3,2,2,3,3,5,4,4,4,3,4,4,4,5,4,4,6,7,6,4,4,4,5.0,4.5,5.2,3.25,2.75,2.6,3.8,4.2,6.333333333333333,4.0,-0.3333333333333333,-0.3333333333333333
S1-0206,Similar-product,2,32,Nonbinary/Other,6,6,4,5,5,1,5,4,6,5,2,2,2,5,5,4,4,5,4,4,4,4,4,5,5,4,3,4,4,5,4,5,4,5,4,4,4,4,4,3,4,4,3,2,2,3,3,6,3,4,2,3,4,3,3,4,3,3,3,4,3,4,4,3,4.5,4.0,4.4,4.0,3.5,2.4,3.2,3.2,3.3333333333333335,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0207,Similar-product,2,25,Male,6,5,5,5,3,4,5,5,5,6,1,1,1,6,5,5,4,5,5,3,2,3,3,4,5,5,4,4,4,5,4,3,2,3,3,3,5,4,5,4,4,4,4,3,3,4,4,3,3,3,4,4,3,4,4,3,4,4,5,5,6,3,3,3,4.25,4.25,3.0,4.25,4.0,3.8,3.4,3.8,5.333333333333333,3.0,-0.3333333333333333,-0.3333333333333333
S1-0208,Unrelated,0,28,Female,6,4,3,5,6,3,7,4,4,4,1,2,2,2,2,2,2,2,2,3,2,3,5,6,5,6,5,5,5,5,5,5,6,6,5,2,2,1,2,2,2,1,2,3,2,2,3,6,3,2,4,4,3,4,4,3,3,3,3,3,4,4,4,5,5.5,5.0,5.4,1.75,1.75,2.4,3.2,3.4,3.3333333333333335,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0209,Same-product,1,41,Female,5,4,5,6,3,4,7,5,5,4,5,6,5,6,6,7,3,2,3,5,5,5,3,5,3,4,3,3,3,4,7,6,7,7,6,2,2,2,1,2,2,3,3,2,2,2,2,6,5,6,5,5,5,5,5,5,4,5,5,4,4,2,2,3,3.75,3.25,6.6,1.75,2.5,2.0,5.2,4.8,4.333333333333333,2.3333333333333335,1.0,-0.3333333333333333
S1-0210,Superior-alternative,3,23,Female,6,5,4,4,5,3,5,4,4,4,3,3,2,6,6,5,5,6,6,4,3,3,5,5,5,5,5,5,5,5,4,2,2,4,2,6,6,6,5,5,5,6,5,4,6,4,5,3,3,3,3,3,2,4,3,4,4,4,4,5,5,4,3,4,5.0,5.0,2.8,5.75,5.25,4.8,2.8,3.8,4.666666666666667,3.6666666666666665,-0.3333333333333333,1.0
S1-0211,Superior-alternative,3,21,Female,6,6,1,5,5,3,3,6,5,5,2,2,2,6,6,6,6,6,6,5,4,4,4,5,5,4,5,4,4,3,3,2,3,2,3,5,5,6,5,5,6,5,5,5,4,4,5,3,4,4,4,4,3,4,3,4,4,4,4,5,5,4,4,3,4.5,4.0,2.6,5.25,5.25,4.6,3.8,3.8,4.666666666666667,3.6666666666666665,-0.3333333333333333,1.0
S1-0212,Unrelated,0,26,Female,5,4,4,5,5,4,5,4,4,4,2,2,2,2,2,1,1,1,2,2,1,1,6,5,6,6,4,5,5,6,5,6,5,5,7,1,2,2,1,1,1,2,1,1,2,2,2,7,4,2,3,3,3,3,4,3,3,4,3,3,2,4,4,5,5.75,5.0,5.6,1.5,1.25,1.6,3.0,3.4,2.6666666666666665,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0213,Same-product,1,24,Male,5,5,4,6,2,1,6,5,4,6,5,5,7,6,6,7,2,2,2,5,4,5,5,4,4,4,3,6,4,5,6,5,5,7,5,2,3,2,3,3,3,3,2,1,2,3,2,6,4,4,5,4,4,4,6,4,5,3,4,5,5,4,3,3,4.25,4.5,5.6,2.5,2.75,2.0,4.2,4.4,4.666666666666667,3.3333333333333335,1.0,-0.3333333333333333
S1-0214,Unrelated,0,34,Male,4,4,4,4,5,1,6,6,5,5,2,1,2,2,2,2,2,2,2,3,2,3,4,4,5,5,4,5,5,5,4,5,5,5,6,3,3,3,4,2,2,3,3,3,2,2,1,6,2,3,3,1,3,2,2,2,2,2,3,2,2,5,3,3,4.5,4.75,5.0,3.25,2.5,2.0,2.4,2.0,2.3333333333333335,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0215,Same-product,1,29,Female,5,5,4,5,3,2,5,4,5,5,6,6,6,6,6,6,2,2,2,6,6,6,4,4,4,4,4,4,4,4,5,5,5,6,6,3,3,3,3,3,4,3,3,2,3,2,2,5,5,5,4,5,5,4,4,5,5,5,3,5,4,3,2,2,4.0,4.0,5.4,3.0,3.25,2.4,4.8,4.6,4.0,2.3333333333333335,1.0,-0.3333333333333333
S1-0216,Same-product,1,41,Female,7,6,4,4,4,2,5,4,5,6,5,6,6,7,7,7,2,2,3,5,5,6,3,3,3,3,3,4,3,3,4,5,5,4,5,3,4,3,2,2,4,2,2,2,3,2,2,7,5,6,6,6,5,5,6,6,6,7,5,5,5,4,4,3,3.0,3.25,4.6,3.0,2.5,2.0,5.6,6.0,5.0,3.6666666666666665,1.0,-0.3333333333333333
S1-0217,Superior-alternative,3,40,Male,4,6,7,4,4,2,5,4,1,6,2,2,2,6,5,6,5,5,5,5,5,4,4,4,3,3,3,4,3,3,2,2,3,2,2,7,6,7,6,6,6,6,7,4,5,5,5,1,5,5,6,5,6,3,3,3,4,4,4,4,5,3,3,4,3.5,3.25,2.2,6.5,6.25,5.2,5.4,3.4,4.333333333333333,3.3333333333333335,-0.3333333333333333,1.0
S1-0218,Superior-alternative,3,18,Male,5,6,4,4,6,1,3,3,4,4,2,2,2,6,6,7,6,7,6,4,4,4,6,6,5,6,6,4,5,5,5,3,4,3,4,5,4,6,6,5,4,4,5,5,4,3,4,3,3,3,3,3,4,5,4,6,4,4,6,5,6,4,3,4,5.75,5.0,3.8,5.25,4.5,4.2,3.2,4.6,5.666666666666667,3.6666666666666665,-0.3333333333333333,1.0
S1-0219,Same-product,1,36,Female,6,5,4,5,5,3,5,3,4,4,6,6,6,6,6,7,3,3,3,5,6,6,4,4,4,5,4,3,3,4,5,4,5,5,5,3,3,2,3,3,2,2,3,3,2,3,1,7,5,6,5,5,5,7,6,6,6,7,4,5,5,2,2,2,4.25,3.5,4.8,2.75,2.5,2.0,5.2,6.4,4.666666666666667,2.0,1.0,-0.3333333333333333
S1-0220,Same-product,1,23,Male,6,4,4,6,5,4,4,5,3,6,6,5,5,6,5,6,3,3,2,5,6,6,4,3,4,4,5,4,3,5,5,5,5,4,5,2,3,2,3,1,3,4,3,3,2,3,3,6,5,5,5,4,5,4,5,5,5,5,5,5,5,3,2,2,3.75,4.25,4.8,2.5,2.75,2.6,4.8,4.8,5.0,2.3333333333333335,1.0,-0.3333333333333333
S1-0221,Same-product,1,18,Male,4,5,6,7,6,2,6,5,3,6,5,4,5,6,5,5,2,2,1,5,5,6,4,5,3,5,3,4,3,4,4,4,5,5,5,4,3,3,3,3,3,3,3,3,3,2,2,6,4,6,5,5,5,5,6,6,6,6,5,4,6,3,3,2,4.25,3.5,4.6,3.25,3.0,2.4,5.0,5.8,5.0,2.6666666666666665,1.0,-0.3333333333333333
S1-0222,Similar-product,2,31,Male,5,5,3,3,4,1,5,4,4,4,1,2,2,5,5,5,3,3,3,4,4,5,4,5,3,6,4,4,5,3,4,5,4,4,6,4,5,4,4,3,3,3,4,4,4,4,3,4,4,5,4,4,4,5,5,4,5,6,5,4,5,3,5,4,4.5,4.0,4.6,4.25,3.25,3.8,4.2,5.0,4.666666666666667,4.0,-0.3333333333333333,-0.3333333333333333
S1-0223,Unrelated,0,34,Male,6,4,3,5,4,1,4,4,6,5,2,2,2,3,2,1,3,1,2,3,3,3,5,5,5,5,5,5,6,5,5,5,5,5,4,4,4,4,3,4,3,3,2,2,3,1,3,5,1,1,2,2,1,3,3,3,3,3,4,5,4,3,4,3,5.0,5.25,4.8,3.75,3.0,2.4,1.4,3.0,4.333333333333333,3.3333333333333335,-0.3333333333333333,-0.3333333333333333
S1-0224,Similar-product,2,34,Female,6,5,2,5,4,4,5,6,6,3,2,3,3,6,5,6,4,5,5,5,5,5,5,7,7,6,5,6,6,6,3,4,5,4,4,4,4,5,4,3,5,4,4,4,4,5,4,2,3,3,2,3,3,5,4,4,4,3,3,4,4,5,5,4,6.25,5.75,4.0,4.25,4.0,4.6,2.8,4.0,3.6666666666666665,4.666666666666667,-0.3333333333333333,-0.3333333333333333
S1-0225,Superior-alternative,3,38,Female,5,7,4,5,5,2,6,6,6,5,1,2,2,6,6,5,7,7,6,3,4,4,5,4,4,5,4,4,4,3,4,3,4,5,4,6,5,6,5,3,6,4,5,4,5,5,5,2,4,4,4,4,3,3,3,3,3,4,6,6,5,3,3,3,4.5,3.75,4.0,5.5,4.5,5.0,3.8,3.2,5.666666666666667,3.0,-0.3333333333333333,1.0
S1-0226,Same-product,1,32,Female,6,6,5,5,4,5,6,5,7,3,6,6,6,7,6,6,2,2,3,5,5,5,3,4,3,4,4,3,4,4,5,5,5,6,5,3,3,2,1,3,3,2,2,3,4,4,3,4,4,5,4,4,6,5,6,6,5,6,6,6,6,3,3,2,3.5,3.75,5.2,2.25,2.5,3.6,4.6,5.6,6.0,2.6666666666666665,1.0,-0.3333333333333333
S1-0227,Superior-alternative,3,29,Female,5,6,6,4,3,4,6,2,5,3,2,3,2,5,6,6,5,6,6,4,5,5,6,5,5,6,4,4,4,5,4,4,3,3,4,4,5,5,4,5,4,3,5,4,4,5,5,4,4,4,4,4,3,3,3,3,4,3,5,5,5,3,3,3,5.5,4.25,3.6,4.5,4.25,4.4,3.8,3.2,5.0,3.0,-0.3333333333333333,1.0
S1-0228,Same-product,1,18,Male,6,6,3,4,4,3,5,3,5,4,6,6,6,6,5,5,2,2,3,5,7,6,3,4,3,5,4,3,3,5,5,5,4,4,5,3,3,4,3,2,2,2,3,3,2,2,3,5,4,3,4,4,3,6,6,5,5,5,4,5,5,3,3,3,3.75,3.75,4.6,3.25,2.25,2.6,3.6,5.4,4.666666666666667,3.0,1.0,-0.3333333333333333
S1-0229,Unrelated,0,40,Female,5,6,2,6,4,3,5,6,5,5,3,3,2,3,2,2,2,1,2,2,2,3,5,5,5,5,5,5,5,5,5,6,6,6,6,2,3,2,3,1,3,2,1,1,2,1,2,6,3,3,5,4,3,5,3,5,4,4,4,4,3,4,5,5,5.0,5.0,5.8,2.5,1.75,1.6,3.6,4.2,3.6666666666666665,4.666666666666667,-0.3333333333333333,-0.3333333333333333
S1-0230,Same-product,1,19,Female,5,4,3,4,4,2,6,4,2,5,5,6,6,6,6,6,2,1,2,6,6,6,3,4,4,3,3,4,3,4,5,5,4,6,5,3,3,4,2,3,2,3,2,3,3,3,3,5,6,6,5,5,5,5,6,4,6,5,4,5,5,2,2,2,3.5,3.5,5.0,3.0,2.5,3.0,5.4,5.2,4.666666666666667,2.0,1.0,-0.3333333333333333
S1-0231,Unrelated,0,42,Female,6,5,3,3,6,4,5,4,6,4,1,2,1,2,2,2,3,3,3,2,2,2,7,7,6,7,5,5,6,6,6,7,6,6,6,1,1,3,2,2,2,2,2,3,3,1,2,6,2,2,2,2,2,2,3,3,3,2,3,4,4,5,4,4,6.75,5.5,6.2,1.75,2.0,2.2,2.0,2.6,3.6666666666666665,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0232,Superior-alternative,3,37,Female,6,5,3,4,5,4,5,5,5,5,2,2,1,6,6,6,5,6,6,4,4,5,4,5,5,5,3,5,4,5,3,2,3,1,2,6,5,6,5,4,5,5,6,5,5,6,5,2,5,4,6,6,4,5,5,4,5,6,5,5,4,4,4,4,4.75,4.25,2.2,5.5,5.0,5.4,5.0,5.0,4.666666666666667,4.0,-0.3333333333333333,1.0
S1-0233,Similar-product,2,25,Male,6,6,4,4,4,2,6,4,7,4,2,2,3,6,6,5,4,3,4,4,4,4,5,5,4,4,4,4,6,5,5,5,4,4,4,5,3,4,4,3,4,3,4,2,3,3,2,5,3,3,2,3,4,4,3,4,3,3,5,5,4,5,4,4,4.5,4.75,4.4,4.0,3.5,2.6,3.0,3.4,4.666666666666667,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0234,Similar-product,2,26,Female,6,5,2,6,5,2,7,4,3,4,1,2,2,6,6,5,3,4,3,4,4,5,4,4,5,5,5,4,6,5,5,6,5,5,6,3,4,5,4,3,3,3,4,2,2,3,4,5,3,4,3,4,3,4,5,4,6,5,5,4,5,4,3,4,4.5,5.0,5.4,4.0,3.25,2.8,3.4,4.8,4.666666666666667,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0235,Superior-alternative,3,32,Female,5,6,4,6,5,2,4,6,7,5,2,2,1,5,5,6,5,6,5,5,5,5,5,4,5,6,4,4,5,4,4,3,4,4,3,5,5,5,4,5,5,6,5,4,5,5,6,4,4,4,4,4,3,5,5,4,5,5,5,5,5,2,3,2,5.0,4.25,3.6,4.75,5.25,4.8,3.8,4.8,5.0,2.3333333333333335,-0.3333333333333333,1.0
S1-0236,Superior-alternative,3,22,Male,6,5,3,5,4,3,3,5,5,4,3,3,3,7,6,6,4,5,5,5,4,5,5,5,5,5,4,4,4,4,3,4,4,4,4,5,5,5,5,4,4,5,4,4,4,4,4,4,4,5,3,4,4,4,3,5,5,4,5,5,5,4,5,5,5.0,4.0,3.8,5.0,4.25,4.0,4.0,4.2,5.0,4.666666666666667,-0.3333333333333333,1.0
S1-0237,Similar-product,2,18,Female,6,5,5,6,5,4,6,5,5,4,2,2,2,5,5,5,4,4,4,4,4,5,4,5,5,6,4,5,5,6,4,4,4,4,4,3,4,3,3,3,3,2,3,2,2,2,2,6,2,2,4,3,3,5,4,5,4,5,5,6,5,3,4,5,5.0,5.0,4.0,3.25,2.75,2.0,2.8,4.6,5.333333333333333,4.0,-0.3333333333333333,-0.3333333333333333
S1-0238,Superior-alternative,3,35,Male,6,6,2,5,2,1,6,6,4,6,2,1,3,6,6,6,5,6,5,4,5,4,4,5,5,5,4,5,5,6,4,3,3,4,4,6,5,5,5,6,5,4,5,5,5,5,5,2,4,4,5,5,5,5,4,6,6,5,5,5,6,4,3,3,4.75,5.0,3.6,5.25,5.0,5.2,4.6,5.2,5.333333333333333,3.3333333333333335,-0.3333333333333333,1.0
S1-0239,Superior-alternative,3,34,Male,4,5,4,5,5,2,5,4,5,5,1,2,1,6,5,5,5,5,6,4,4,4,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,3,3,4,3,5,6,5,4,3,2,4,3,4,4,4,4,4,5,4,6,5,5,2,2,2,4.5,4.0,4.2,3.75,3.25,5.0,3.4,4.2,5.333333333333333,2.0,-0.3333333333333333,1.0
S1-0240,Superior-alternative,3,40,Female,6,6,4,4,3,2,5,2,4,6,1,2,1,6,6,6,6,6,6,5,4,5,4,4,5,4,3,3,4,3,4,4,5,4,3,5,4,5,6,4,5,5,6,5,5,4,5,3,3,3,3,4,3,4,4,6,4,6,5,5,5,3,4,2,4.25,3.25,4.0,5.0,5.0,4.8,3.2,4.8,5.0,3.0,-0.3333333333333333,1.0
S1-0241,Same-product,1,29,Female,7,5,3,5,4,2,7,4,7,5,5,5,6,5,6,6,2,2,1,6,5,6,5,6,4,5,5,4,3,3,4,5,5,4,4,1,2,2,2,2,3,2,2,1,1,3,1,6,4,4,3,4,4,5,5,4,5,5,5,6,5,3,2,3,5.0,3.75,4.4,1.75,2.25,1.6,3.8,4.8,5.333333333333333,2.6666666666666665,1.0,-0.3333333333333333
S1-0242,Superior-alternative,3,29,Female,6,6,2,5,4,3,6,7,5,5,1,1,1,6,7,6,6,6,7,4,4,4,5,5,5,4,5,5,4,4,3,4,4,4,4,4,5,5,4,4,4,4,4,3,4,4,5,3,3,4,4,4,3,3,4,4,3,3,5,5,5,3,3,3,4.75,4.5,3.8,4.5,4.0,4.2,3.6,3.4,5.0,3.0,-0.3333333333333333,1.0
S1-0243,Similar-product,2,24,Male,5,4,5,3,4,3,4,5,4,6,2,1,2,6,7,6,4,4,3,4,3,4,4,4,4,5,4,5,4,3,4,5,4,5,5,5,4,6,3,4,3,4,3,3,3,3,3,5,3,3,3,3,4,5,5,5,6,5,4,3,4,4,5,4,4.25,4.0,4.6,4.5,3.5,3.0,3.2,5.2,3.6666666666666665,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0244,Superior-alternative,3,36,Female,5,4,5,4,4,4,5,5,3,6,2,2,1,5,6,6,6,6,6,5,5,5,5,4,5,5,3,5,4,4,3,3,2,3,1,5,5,5,6,7,5,5,5,6,5,5,6,2,4,4,4,4,4,4,3,2,3,2,3,4,5,2,3,3,4.75,4.0,2.4,5.25,5.5,5.6,4.0,2.8,4.0,2.6666666666666665,-0.3333333333333333,1.0
S1-0245,Superior-alternative,3,32,Female,5,6,3,7,5,3,6,5,4,5,3,2,2,6,6,6,5,5,6,4,5,5,6,4,5,6,4,4,4,5,3,3,3,1,3,6,6,7,6,6,6,6,6,5,5,4,4,3,4,4,4,4,4,4,3,3,3,4,5,6,6,3,3,3,5.25,4.25,2.6,6.25,6.0,4.6,4.0,3.4,5.666666666666667,3.0,-0.3333333333333333,1.0
S1-0246,Same-product,1,22,Female,5,6,4,4,4,3,4,5,4,4,5,6,6,6,6,6,2,2,3,4,5,6,4,4,3,4,4,4,4,4,4,4,4,5,3,3,3,3,4,3,4,4,3,4,3,3,3,5,4,6,5,6,5,5,5,5,6,4,5,3,4,3,4,3,3.75,4.0,4.0,3.25,3.5,3.2,5.2,5.0,4.0,3.3333333333333335,1.0,-0.3333333333333333
S1-0247,Unrelated,0,32,Female,7,6,3,7,6,5,6,5,4,4,1,2,1,2,2,2,2,2,3,3,2,2,5,6,4,5,5,5,6,4,7,6,5,6,6,3,3,3,3,3,3,4,2,3,3,2,1,6,3,3,1,2,3,3,3,3,3,4,2,3,2,5,5,6,5.0,5.0,6.0,3.0,3.0,2.2,2.4,3.2,2.3333333333333335,5.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0248,Unrelated,0,27,Male,7,5,4,7,4,4,4,5,5,4,1,1,1,3,2,2,1,1,1,2,2,3,4,5,4,5,4,5,3,5,6,5,5,5,6,3,2,3,2,1,3,2,1,2,2,2,1,6,4,5,4,4,3,2,3,3,2,3,3,3,3,4,4,4,4.5,4.25,5.4,2.5,1.75,1.8,4.0,2.6,3.0,4.0,-0.3333333333333333,-0.3333333333333333
S1-0249,Superior-alternative,3,33,Female,4,4,4,5,6,2,3,4,7,4,2,2,2,6,6,6,6,5,6,4,4,5,5,4,5,5,4,3,5,4,2,3,4,3,4,4,5,5,5,4,4,3,5,4,5,5,5,2,4,3,4,3,4,5,5,6,5,5,4,3,3,3,3,2,4.75,4.0,3.2,4.75,4.0,5.0,3.6,5.2,3.3333333333333335,2.6666666666666665,-0.3333333333333333,1.0
S1-0250,Same-product,1,37,Female,6,6,4,5,4,1,6,4,4,5,5,5,6,6,6,6,3,3,2,5,6,6,3,2,3,3,2,3,3,1,4,4,4,4,3,3,2,2,2,3,2,4,3,1,2,1,2,6,5,6,6,7,7,4,5,4,4,5,4,4,5,2,3,2,2.75,2.25,3.8,2.25,3.0,1.6,6.2,4.4,4.333333333333333,2.3333333333333335,1.0,-0.3333333333333333
S1-0251,Similar-product,2,28,Female,6,4,2,4,4,2,4,5,4,4,3,1,1,5,6,6,4,4,3,5,6,5,5,4,4,3,4,6,5,5,4,3,4,3,4,3,4,4,3,3,3,3,4,2,2,2,3,5,3,4,3,3,3,4,3,4,3,4,4,6,4,4,3,4,4.0,5.0,3.6,3.5,3.25,2.4,3.2,3.6,4.666666666666667,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0252,Superior-alternative,3,47,Female,6,5,4,5,5,2,7,5,4,5,2,2,3,6,6,6,6,6,6,3,4,4,5,5,6,5,4,5,5,5,3,3,3,3,4,5,4,5,5,4,4,6,5,4,4,4,5,2,6,5,3,4,4,5,4,6,4,4,3,5,3,4,4,3,5.25,4.75,3.2,4.75,4.75,4.6,4.4,4.6,3.6666666666666665,3.6666666666666665,-0.3333333333333333,1.0
S1-0253,Same-product,1,32,Female,7,5,3,5,2,4,6,7,6,5,6,5,6,6,7,6,2,2,1,6,6,6,3,3,4,4,4,5,4,4,5,5,4,5,5,2,2,3,2,3,2,1,3,2,3,2,2,4,5,4,5,5,6,5,6,7,6,5,7,6,6,2,2,3,3.5,4.25,4.8,2.25,2.25,2.6,5.0,5.8,6.333333333333333,2.3333333333333335,1.0,-0.3333333333333333
S1-0254,Same-product,1,32,Female,6,5,2,5,4,2,5,5,4,7,7,6,6,5,5,6,2,2,2,6,6,6,4,3,3,3,3,3,2,3,6,5,7,6,5,2,2,2,2,2,2,2,1,1,1,2,1,6,5,4,5,5,6,5,5,6,5,6,5,5,5,1,2,2,3.25,2.75,5.8,2.0,1.75,1.4,5.0,5.4,5.0,1.6666666666666667,1.0,-0.3333333333333333
S1-0255,Same-product,1,26,Female,4,5,2,6,5,3,5,4,5,6,5,5,6,6,6,6,2,2,2,5,6,6,4,5,5,4,4,5,4,4,5,5,5,6,4,1,2,2,3,2,2,1,2,2,3,1,1,6,4,5,5,4,5,5,7,6,6,6,5,5,6,3,3,3,4.5,4.25,5.0,2.0,1.75,1.8,4.6,6.0,5.333333333333333,3.0,1.0,-0.3333333333333333
S1-0256,Similar-product,2,47,Female,6,6,4,4,4,3,7,7,5,4,3,2,2,5,5,6,4,3,3,4,4,4,5,5,6,5,5,5,5,4,6,5,5,5,6,2,2,2,2,3,3,2,3,3,2,3,2,6,4,4,4,3,3,4,4,4,5,4,5,6,5,4,3,4,5.25,4.75,5.4,2.0,2.75,2.4,3.6,4.2,5.333333333333333,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0257,Same-product,1,19,Male,4,6,4,5,4,2,6,5,3,4,6,6,5,6,6,6,2,2,3,5,6,7,4,4,3,4,4,4,3,5,4,5,5,4,5,3,3,3,3,3,3,3,3,2,2,2,3,5,4,3,5,4,4,4,5,5,4,5,5,4,5,3,3,2,3.75,4.0,4.6,3.0,3.0,2.4,4.0,4.6,4.666666666666667,2.6666666666666665,1.0,-0.3333333333333333
S1-0258,Superior-alternative,3,38,Female,6,6,4,5,4,5,3,5,4,5,2,2,1,6,5,6,5,5,6,4,5,4,5,5,6,5,5,5,4,5,3,3,3,3,3,4,5,5,5,4,5,4,3,4,4,5,3,3,4,3,4,5,4,6,4,4,4,4,6,6,6,4,4,4,5.25,4.75,3.0,4.75,4.0,4.2,4.0,4.4,6.0,4.0,-0.3333333333333333,1.0
S1-0259,Same-product,1,28,Female,5,5,2,6,4,5,7,4,4,6,6,6,6,6,7,5,2,2,2,6,7,7,4,2,3,3,2,4,3,3,5,5,6,6,5,2,2,3,2,2,2,3,1,3,1,2,2,6,5,6,5,6,6,6,6,5,6,7,4,5,5,3,3,3,3.0,3.0,5.4,2.25,2.0,2.0,5.6,6.0,4.666666666666667,3.0,1.0,-0.3333333333333333
S1-0260,Similar-product,2,24,Male,5,6,4,5,4,2,5,4,6,4,2,2,2,5,5,6,4,4,3,4,4,4,5,4,3,6,3,5,4,4,3,4,4,3,4,2,4,4,3,4,3,3,4,3,3,3,3,5,5,3,5,4,4,6,5,4,5,5,5,4,5,3,2,4,4.5,4.0,3.6,3.25,3.5,3.0,4.2,5.0,4.666666666666667,3.0,-0.3333333333333333,-0.3333333333333333
